run,total_time,t_ingest,cpu_ingest,mem_ingest,read_ingest,write_ingest,throughput_ingest,t_bronze,cpu_bronze,mem_bronze,read_bronze,write_bronze,throughput_bronze,t_silver,cpu_silver,mem_silver,read_silver,write_silver,throughput_silver,t_gold,cpu_gold,mem_gold,read_gold,write_gold,throughput_gold
11,316.36,0.026185035705566406,,,0.0,0.0,0.0,41.763346672058105,60.59615384615385,45.25769230769231,0.0078125,995.5625,23.838374839008996,63.08762812614441,87.76666666666667,45.4,56.44921875,554.2265625,9.679802512609081,211.47963666915894,95.1,45.4,29.8828125,6053.7109375,28.766806326214947
12,328.89,0.019041061401367188,,,0.0,0.0,0.0,39.253682136535645,58.71923076923077,45.29615384615385,0.01171875,546.11328125,13.912707554425582,63.17875647544861,90.23333333333333,45.36666666666667,533.53515625,827.41015625,21.541185493716803,226.43877053260803,95.2,45.5,164.09375,6633.25390625,30.018479787104994
13,354.6,0.024981021881103516,,,0.0,0.0,0.0,40.861754417419434,58.25,45.300000000000004,0.01171875,616.18359375,15.080001367668025,69.14026308059692,90.8,45.46666666666666,450.37890625,623.58984375,15.533188653738167,244.5664644241333,94.4,45.4,339.17578125,7325.73046875,31.340790193979036
14,378.61,0.02888965606689453,,,0.0,0.0,0.0,43.384310245513916,57.28846153846154,45.3923076923077,0.01953125,630.7578125,14.539296353460513,73.40850639343262,89.5,45.53333333333333,404.56640625,556.04296875,13.085804659362195,261.78854727745056,95.5,45.6,503.6328125,7787.04296875,31.669360128513638
15,399.93,0.022146224975585938,,,0.0,0.0,0.0,41.52466177940369,56.780769230769224,45.434615384615384,0.01953125,703.81640625,16.949829507078707,78.32044386863708,89.73333333333333,45.56666666666667,492.17578125,706.75,15.307954373457044,280.06321120262146,95.3,45.6,634.05859375,8202.29296875,31.551275601517812
16,421.04,0.029935121536254883,,,0.0,0.0,0.0,44.00512909889221,56.676923076923075,45.43076923076924,0.015625,807.94140625,18.360519507493947,84.42329907417297,90.53333333333335,45.5,653.65625,641.99609375,15.34709443907967,292.57785725593567,96.2,45.6,883.38671875,8696.84375,32.74420887008407
17,438.98,0.015845775604248047,,,0.0,0.0,0.0,42.67912459373474,55.28461538461538,45.48461538461539,0.23828125,885.0234375,20.742265151332454,88.37282872200012,91.13333333333333,45.666666666666664,948.79296875,595.3203125,17.472715353577883,307.907812833786,96.3,45.6,1199.72265625,9259.703125,33.9693419435777
18,464.05,0.02904653549194336,,,0.0,0.0,0.0,42.65392804145813,55.27307692307692,45.51153846153846,0.08203125,914.015625,21.430562159750657,91.18743371963501,90.8,45.666666666666664,1311.87109375,816.4296875,23.339847328017544,330.1757125854492,95.1,45.8,1635.07421875,9998.0,35.2329798205232
19,488.72,0.03981304168701172,,,0.0,0.0,0.0,42.52590084075928,54.22692307692308,45.596153846153854,0.01171875,717.03125,16.86132344227132,97.31344270706177,89.16666666666667,45.76666666666667,1850.00390625,683.56640625,26.03515241082048,348.83594584465027,95.2,45.6,2259.6796875,10666.91796875,37.05638082953383
20,509.63,0.027994632720947266,,,0.0,0.0,0.0,44.748246908187866,52.94615384615384,45.51538461538461,0.015625,648.40625,14.490441968160193,99.78724932670593,90.40000000000002,45.666666666666664,2334.5859375,749.0078125,30.901681034459997,365.0644361972809,95.6,45.7,2771.71875,11187.9140625,38.238818762823044
