run,total_time,t_ingest,cpu_ingest,mem_ingest,read_ingest,write_ingest,throughput_ingest,t_bronze,cpu_bronze,mem_bronze,read_bronze,write_bronze,throughput_bronze,t_silver,cpu_silver,mem_silver,read_silver,write_silver,throughput_silver,t_gold,cpu_gold,mem_gold,read_gold,write_gold,throughput_gold
14,356.66,0.015467643737792969,,,0.0,0.0,0.0,37.77403211593628,56.7,39.14615384615385,0.01171875,625.51171875,16.559615229323146,71.8295738697052,89.76666666666667,39.36666666666667,462.68359375,754.2890625,16.942501405584277,247.04513597488403,95.0,39.4,335.3984375,7740.32421875,32.689259897312944
15,374.26,0.009858131408691406,,,0.0,0.0,0.0,37.64140009880066,56.73846153846154,39.19230769230769,0.5078125,650.69921875,17.30028717159086,77.86975264549255,89.76666666666665,39.5,426.6015625,672.375,14.113009546892577,258.73451352119446,95.6,39.4,434.63671875,8199.11328125,33.369146939466034
16,397.2,0.012910127639770508,,,0.0,0.0,0.0,39.1132538318634,54.95000000000001,39.28076923076923,0.140625,726.4140625,18.57566467426231,79.55920314788818,91.46666666666665,39.56666666666667,409.42578125,783.28125,14.991440135881492,278.50948691368103,96.2,39.5,375.44921875,8761.6953125,32.80730086613492
17,414.8,0.01546931266784668,,,0.0,0.0,0.0,39.253519773483276,54.4923076923077,39.349999999999994,1.515625,855.6484375,21.836616625626412,86.08338713645935,91.16666666666667,39.5,316.0,557.31640625,10.145005154892653,289.44567465782166,96.7,39.5,539.328125,9335.13671875,34.11508862733376
18,442.03,0.013356685638427734,,,0.0,0.0,0.0,40.2803213596344,53.76923076923077,39.36923076923077,8.546875,881.2578125,22.090307561242263,89.00286054611206,92.66666666666667,39.53333333333333,515.3984375,955.12109375,16.522160324140696,312.73574924468994,95.6,39.5,800.15234375,10099.54296875,34.852732183079866
19,460.02,0.017284631729125977,,,0.0,0.0,0.0,40.095943212509155,52.61538461538461,39.407692307692315,5.23046875,695.3046875,17.471472177051734,94.34757471084595,91.30000000000001,39.56666666666667,765.9765625,846.7421875,17.09337791610033,325.5588822364807,95.6,39.7,1180.390625,10202.23046875,34.963325268704686
20,493.72,0.016373157501220703,,,0.0,0.0,0.0,42.931135177612305,52.865384615384606,39.5,0.33984375,1107.88671875,25.814052153876357,102.15174508094788,90.83333333333333,39.6,1171.84375,941.2734375,20.686060583943107,348.62060046195984,95.8,39.7,1615.234375,11107.47265625,36.494421197115265
21,508.9,0.011212587356567383,,,0.0,0.0,0.0,42.57381463050842,51.45769230769231,39.55,0.15625,674.83984375,15.85472430901922,104.42765426635742,90.8,39.66666666666667,1588.5390625,767.66015625,22.562981379819014,361.88915967941284,96.1,39.8,2132.5703125,11672.8046875,38.14807553845985
22,524.45,0.014891862869262695,,,0.0,0.0,0.0,43.39177083969116,52.32307692307692,39.58076923076923,0.3046875,772.73046875,17.81524794426901,106.25928544998169,91.63333333333333,39.76666666666666,2225.5703125,873.65625,29.166642231552235,374.78693556785583,96.5,39.7,2696.43359375,12334.98046875,40.10655824948982
23,551.09,0.010145425796508789,,,0.0,0.0,0.0,43.948442697525024,51.134615384615394,39.53846153846154,0.0078125,907.90625,20.658617388304627,113.34287667274475,91.56666666666666,39.8,2857.78125,836.45703125,32.59347556455961,393.7900605201721,96.7,39.8,3292.74609375,13640.75390625,43.00133928629865
24,481.85,0.009255170822143555,,,0.0,0.0,0.0,45.750494956970215,49.33461538461539,39.5923076923077,0.1796875,624.71484375,13.658749087583272,35.056803464889526,90.86666666666667,39.733333333333334,496.71875,459.0703125,27.264010635118296,401.0344429016113,,,0.0,0.0,0.0
25,540.63,0.009431123733520508,,,0.0,0.0,0.0,44.28255248069763,52.19615384615385,39.565384615384616,0.015625,170.390625,3.8481578060406196,120.89874911308289,91.66666666666667,39.86666666666667,3979.55859375,1091.32421875,41.94321984057039,375.43837785720825,,,0.0,0.0,0.0
26,519.23,0.009467124938964844,,,0.0,0.0,0.0,45.18117713928223,51.64615384615385,39.67307692307692,0.03515625,134.84375,2.9852897775151406,128.25267481803894,90.56666666666666,39.9,3860.0,1220.84375,39.61588915949355,345.78485083580017,,,0.0,0.0,0.0
27,506.21,0.010056734085083008,,,0.0,0.0,0.0,46.57259750366211,50.76153846153846,39.76153846153846,0.640625,200.40234375,4.3167652122944515,132.98115420341492,90.53333333333335,40.0,4490.9609375,913.453125,40.64045085842108,326.64216351509094,,,0.0,0.0,0.0
28,505.7,0.010271549224853516,,,0.0,0.0,0.0,48.38618183135986,50.60769230769232,39.79615384615385,0.140625,164.1015625,3.394402725811938,137.33146953582764,91.36666666666667,40.06666666666667,5150.86328125,899.4140625,44.05601545078914,319.9672803878784,,,0.0,0.0,0.0
29,480.75,0.0111236572265625,,,0.0,0.0,0.0,47.261242151260376,50.40384615384615,39.89999999999999,0.13671875,329.8359375,6.9818870861226445,141.5857231616974,91.46666666666665,40.13333333333333,5831.19140625,897.890625,47.526557628731254,291.8940107822418,,,0.0,0.0,0.0
30,453.76,0.009518861770629883,,,0.0,0.0,0.0,47.76256322860718,50.69615384615385,39.96923076923077,0.015625,163.1015625,3.415168208608655,143.58414483070374,91.43333333333334,40.26666666666667,6424.55078125,1109.9375,52.47437514868871,262.4035096168518,,,0.0,0.0,0.0
